Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
BTCUSDT,5m,A1,"{""n"": 2.1921903962826255, ""period"": 32}",-81.85998790508326,-1.4534340716398664,81.85998790508326,24.49040767386091,1064
BTCUSDT,5m,A1,"{""n"": 2.1731986594738184, ""period"": 22}",-84.64172609502334,-1.6789271269764492,84.64172609502334,20.466949666464522,1180
BTCUSDT,5m,A1,"{""n"": 1.3178576407208384, ""period"": 20}",-99.22834268366098,-2.7705908220337,99.22834268366098,28.82746534968934,2988
BTCUSDT,5m,A1,"{""n"": 1.5395473871893364, ""period"": 24}",-97.88409127644574,-2.3931235020576223,97.88409127644574,28.110072689511945,2459
BTCUSDT,5m,A1,"{""n"": 1.3546314330832145, ""period"": 26}",-98.35809620930596,-2.3368005903063738,98.35877544753684,31.087600507829034,2593
BTCUSDT,5m,A1,"{""n"": 1.4576385737879747, ""period"": 30}",-97.24035948900325,-2.117247737251937,97.24035948900325,31.213872832369944,2293
BTCUSDT,5m,A1,"{""n"": 2.7951795358401688, ""period"": 30}",-44.43354846513269,-0.746533431421272,44.61552615350066,21.985058697972253,365
BTCUSDT,5m,A1,"{""n"": 2.528143411795969, ""period"": 20}",-58.64010542766713,-1.0951754087715397,58.67997488435466,18.8168210976479,582
BTCUSDT,5m,A1,"{""n"": 2.4342093081533394, ""period"": 30}",-70.20740904143128,-1.2035086538416062,70.20740904143128,23.21772639691715,735
BTCUSDT,5m,A1,"{""n"": 1.9688914699379858, ""period"": 24}",-91.69732080555337,-1.9393429958629298,91.69732080555337,22.873539659766344,1557
BTCUSDT,5m,A1,"{""n"": 1.2660165717934604, ""period"": 18}",-99.43839945430976,-2.8806244303319817,99.43839945430976,28.57887680619693,3224
BTCUSDT,5m,A1,"{""n"": 2.173043815856095, ""period"": 30}",-83.12926663798082,-1.522507970777025,83.12926663798082,23.841445642669775,1114
BTCUSDT,5m,A1,"{""n"": 2.3680633605792862, ""period"": 22}",-73.51757250001431,-1.3664607814552996,73.51757250001431,19.554342883128694,842
BTCUSDT,5m,A1,"{""n"": 1.9474377053366498, ""period"": 20}",-93.20034374057802,-2.132803310868885,93.20034374057802,20.834168838981352,1703
BTCUSDT,5m,A1,"{""n"": 2.6491706170147076, ""period"": 22}",-50.52474577155051,-0.921897495454373,50.62902115473938,19.40700808625337,463
BTCUSDT,5m,A1,"{""n"": 2.780379539136056, ""period"": 32}",-44.16379651606476,-0.7278467956481179,44.193223838624206,22.831505483549353,385
BTCUSDT,5m,A1,"{""n"": 2.5025335479157778, ""period"": 32}",-65.64340441620394,-1.0863232318247265,65.64340441620394,23.532608695652176,660
BTCUSDT,5m,A1,"{""n"": 1.3649313058184984, ""period"": 24}",-98.71887179899603,-2.4942018291209376,98.71887179899603,30.11854360711262,2700
BTCUSDT,5m,A1,"{""n"": 2.5597678822237917, ""period"": 22}",-57.59617567472113,-1.0686928511475624,57.68554712109661,19.592134013109977,559
BTCUSDT,5m,A1,"{""n"": 2.3408712344230844, ""period"": 26}",-75.08721434204209,-1.325230041034176,75.08721434204209,22.24032586558045,883
BTCUSDT,5m,A1,"{""n"": 1.7309580124257242, ""period"": 34}",-93.71998400698257,-1.8412310643369474,93.71998400698257,30.113479103238305,1795
BTCUSDT,5m,A1,"{""n"": 2.7998359489058497, ""period"": 28}",-42.86768959117533,-0.7581638228828327,43.054795398584986,21.092896174863387,360
BTCUSDT,5m,A1,"{""n"": 2.7698291839913645, ""period"": 28}",-44.77103313979539,-0.7946911873872019,44.951905580675756,21.193415637860085,383
BTCUSDT,5m,A1,"{""n"": 2.709682597707944, ""period"": 34}",-48.447939233405904,-0.7815910841578838,48.447939233405904,23.434856175972925,437
