[08:50:37] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:50:47] [BF] ARKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ARPAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ARUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ASRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ASTRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ATAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ATHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] ATOMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] AUCTIONUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:47] [BF] AUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] AVAAIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] AVAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] AVAXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] AWEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] AXLUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] AXSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] B2USDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] B3USDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BABYUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BAKEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BANANAS31USDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BANANAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BANDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BANKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BANUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BATUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BBUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BCHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BDXNUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BEAMXUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BELUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
