symbol,timeframe,rows,first_ts,last_ts,first_iso,last_iso,expected,coverage,fresh,ok,status
1INCHUSDT,15m,35437,1723725900000,1755266400000,,,35040,1.0113,1,1,OK
1INCHUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
1INCHUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
1INCHUSDT,5m,106313,1723725300000,1755266700000,,,105120,1.0113,1,1,OK
1MBABYDOGEUSDT,15m,32599,1726486200000,1755266400000,,,35040,0.9303,1,0,LOW_COVERAGE
1MBABYDOGEUSDT,1h,8092,1726484400000,1755259200000,,,8760,0.9237,1,0,LOW_COVERAGE
1MBABYDOGEUSDT,30m,16401,1726486200000,1755266400000,,,17520,0.9361,1,0,LOW_COVERAGE
1MBABYDOGEUSDT,5m,97793,1726486500000,1755266700000,,,105120,0.9303,1,0,LOW_COVERAGE
A2ZUSDT,15m,2181,1753862400000,1755266400000,,,35040,0.0622,1,0,LOW_COVERAGE
A2ZUSDT,1h,747,1753862400000,1755266400000,,,8760,0.0853,1,0,TOO_FEW_ROWS|LOW_COVERAGE
A2ZUSDT,30m,1192,1753862400000,1755266400000,,,17520,0.068,1,0,TOO_FEW_ROWS|LOW_COVERAGE
A2ZUSDT,5m,6539,1753862400000,1755266700000,,,105120,0.0622,1,0,LOW_COVERAGE
AAVEUSDT,15m,35437,1723725900000,1755266400000,,,35040,1.0113,1,1,OK
AAVEUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AAVEUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
AAVEUSDT,5m,106313,1723725300000,1755266700000,,,105120,1.0113,1,1,OK
ACEUSDT,15m,35437,1723725900000,1755266400000,,,35040,1.0113,1,1,OK
ACEUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ACEUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ACEUSDT,5m,106313,1723725300000,1755266700000,,,105120,1.0113,1,1,OK
ACHUSDT,15m,35437,1723725900000,1755266400000,,,35040,1.0113,1,1,OK
ACHUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ACHUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ACHUSDT,5m,106313,1723725300000,1755266700000,,,105120,1.0113,1,1,OK
ACTUSDT,15m,27220,1731327300000,1755266400000,,,35040,0.7768,1,0,LOW_COVERAGE
ACTUSDT,1h,7007,1731326400000,1755266400000,,,8760,0.7999,1,0,LOW_COVERAGE
ACTUSDT,30m,13712,1731326400000,1755266400000,,,17520,0.7826,1,0,LOW_COVERAGE
ACTUSDT,5m,81656,1731327300000,1755266700000,,,105120,0.7768,1,0,LOW_COVERAGE
ACXUSDT,15m,33051,1733497200000,1755266400000,,,35040,0.9432,1,0,LOW_COVERAGE
ACXUSDT,1h,8469,1733497200000,1755266400000,,,8760,0.9668,1,1,OK
ACXUSDT,30m,16127,1733497200000,1755266400000,,,17520,0.9205,1,0,LOW_COVERAGE
ACXUSDT,5m,100748,1733497200000,1755266700000,,,105120,0.9584,1,1,OK
ADAUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ADAUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ADAUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ADAUSDT,5m,106313,1723725300000,1755266700000,,,105120,1.0113,1,1,OK
AERGOUSDT,15m,20505,1744801200000,1755266400000,,,35040,0.5852,1,0,LOW_COVERAGE
AERGOUSDT,1h,5327,1744801200000,1755266400000,,,8760,0.6081,1,0,LOW_COVERAGE
AERGOUSDT,30m,9853,1744801200000,1755266400000,,,17520,0.5624,1,0,LOW_COVERAGE
AERGOUSDT,5m,63109,1744801200000,1755267000000,,,105120,0.6004,1,0,LOW_COVERAGE
AEROUSDT,15m,33246,1733321700000,1755266400000,,,35040,0.9488,1,0,LOW_COVERAGE
AEROUSDT,1h,8518,1733320800000,1755266400000,,,8760,0.9724,1,1,OK
AEROUSDT,30m,16225,1733320800000,1755266400000,,,17520,0.9261,1,0,LOW_COVERAGE
AEROUSDT,5m,101354,1733321700000,1755267000000,,,105120,0.9642,1,1,OK
AEVOUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AEVOUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AEVOUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
AEVOUSDT,5m,106313,1723725300000,1755267000000,,,105120,1.0113,1,1,OK
AGLDUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AGLDUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AGLDUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
AGLDUSDT,5m,106313,1723725300000,1755267000000,,,105120,1.0113,1,1,OK
AGTUSDT,15m,8987,1747737000000,1755266400000,,,35040,0.2565,1,0,LOW_COVERAGE
AGTUSDT,1h,2449,1747735200000,1755266400000,,,8760,0.2796,1,0,LOW_COVERAGE
AGTUSDT,30m,4595,1747737000000,1755266400000,,,17520,0.2623,1,0,LOW_COVERAGE
AGTUSDT,5m,26958,1747737000000,1755267000000,,,105120,0.2564,1,0,LOW_COVERAGE
AI16ZUSDT,15m,22222,1735825500000,1755266400000,,,35040,0.6342,1,0,LOW_COVERAGE
AI16ZUSDT,1h,5758,1735822800000,1755266400000,,,8760,0.6573,1,0,LOW_COVERAGE
AI16ZUSDT,30m,11213,1735824600000,1755266400000,,,17520,0.64,1,0,LOW_COVERAGE
AI16ZUSDT,5m,66663,1735825500000,1755267000000,,,105120,0.6342,1,0,LOW_COVERAGE
AINUSDT,15m,4090,1752144300000,1755266400000,,,35040,0.1167,1,0,LOW_COVERAGE
AINUSDT,1h,1225,1752141600000,1755266400000,,,8760,0.1398,1,0,TOO_FEW_ROWS|LOW_COVERAGE
AINUSDT,30m,2147,1752143400000,1755266400000,,,17520,0.1225,1,0,LOW_COVERAGE
AINUSDT,5m,12267,1752144300000,1755267000000,,,105120,0.1167,1,0,LOW_COVERAGE
AIOTUSDT,15m,10900,1746016200000,1755267300000,,,35040,0.3111,1,0,LOW_COVERAGE
AIOTUSDT,1h,2727,1746014400000,1755266400000,,,8760,0.3113,1,0,LOW_COVERAGE
AIOTUSDT,30m,5450,1746016200000,1755266400000,,,17520,0.3111,1,0,LOW_COVERAGE
AIOTUSDT,5m,32694,1746016200000,1755267000000,,,105120,0.311,1,0,LOW_COVERAGE
AIOUSDT,15m,792,1755084600000,1755267300000,,,35040,0.0226,1,0,TOO_FEW_ROWS|LOW_COVERAGE
AIOUSDT,1h,408,1755082800000,1755266400000,,,8760,0.0466,1,0,TOO_FEW_ROWS|LOW_COVERAGE
AIOUSDT,30m,513,1755084600000,1755266400000,,,17520,0.0293,1,0,TOO_FEW_ROWS|LOW_COVERAGE
