Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
1000000BOBUSDT,5m,A1,"{""n"": 2.1921903962826255, ""period"": 32}",-3.387051292196286,-0.4696410703301402,5.409799782409652,34.5679012345679,33
1000000BOBUSDT,5m,A1,"{""n"": 2.1731986594738184, ""period"": 22}",-1.9469622424783117,-0.3624762340291292,3.8693949203471023,32.35294117647059,30
1000000BOBUSDT,5m,A1,"{""n"": 1.3178576407208384, ""period"": 20}",-29.248719214885032,-1.9167437673210823,29.5125174408424,31.36729222520107,99
1000000BOBUSDT,5m,A1,"{""n"": 1.5395473871893364, ""period"": 24}",-20.586830818042312,-2.0161985696702303,20.882925148991305,28.825622775800714,86
1000000BOBUSDT,5m,A1,"{""n"": 1.3546314330832145, ""period"": 26}",-25.526335964098024,-1.6149259620863916,25.88121352650825,34.166666666666664,87
1000000BOBUSDT,5m,A1,"{""n"": 1.4576385737879747, ""period"": 30}",-22.11702977125263,-1.3718254052795462,22.54018803023491,35.646687697160885,73
1000000BOBUSDT,5m,A1,"{""n"": 2.7951795358401688, ""period"": 30}",1.512249284652234,0.3658577615900468,0.8872437433862013,47.05882352941176,8
1000000BOBUSDT,5m,A1,"{""n"": 2.528143411795969, ""period"": 20}",0.8899184938397031,0.23314129532360525,0.8482593045694542,42.30769230769231,12
1000000BOBUSDT,5m,A1,"{""n"": 2.4342093081533394, ""period"": 30}",1.5428196195130806,0.2955839075511772,1.9693305379729464,41.86046511627907,19
1000000BOBUSDT,5m,A1,"{""n"": 1.9688914699379858, ""period"": 24}",-3.270925721226614,-0.46517849650834436,6.090965443615193,31.451612903225808,50
1000000BOBUSDT,5m,A1,"{""n"": 1.2660165717934604, ""period"": 18}",-30.697645270147845,-1.9993266075996903,30.80815053549483,30.788804071246815,104
1000000BOBUSDT,5m,A1,"{""n"": 2.173043815856095, ""period"": 30}",-2.936947775300469,-0.4148386516660619,4.7986850636484775,35.714285714285715,37
1000000BOBUSDT,5m,A1,"{""n"": 2.3680633605792862, ""period"": 22}",-0.5274974093069651,-0.10197952208016005,2.596878380951839,37.77777777777778,21
1000000BOBUSDT,5m,A1,"{""n"": 1.9474377053366498, ""period"": 20}",-4.7537165534631605,-0.6793972489402321,6.395183406645999,28.68217054263566,54
1000000BOBUSDT,5m,A1,"{""n"": 2.6491706170147076, ""period"": 22}",0.5921359708508156,0.16850817363516604,0.8442781403110278,42.10526315789473,9
1000000BOBUSDT,5m,A1,"{""n"": 2.780379539136056, ""period"": 32}",1.3726215139536535,0.33086341581221207,0.8872437433862013,47.368421052631575,9
1000000BOBUSDT,5m,A1,"{""n"": 2.5025335479157778, ""period"": 32}",2.570720067533383,0.5024166678829669,1.1853750614303604,43.75,14
1000000BOBUSDT,5m,A1,"{""n"": 1.3649313058184984, ""period"": 24}",-28.062716728220437,-1.812701447040357,28.33093699924175,31.855955678670362,90
1000000BOBUSDT,5m,A1,"{""n"": 2.5597678822237917, ""period"": 22}",1.7077168151112598,0.3912534968925943,0.8170377477612067,43.47826086956522,10
1000000BOBUSDT,5m,A1,"{""n"": 2.3408712344230844, ""period"": 26}",0.1482611610279294,0.03486093372140049,2.5383228267445768,38.63636363636363,20
1000000BOBUSDT,5m,A1,"{""n"": 1.7254394634874488, ""period"": 28}",-15.532649649082453,-1.5940012865676596,15.532649649082453,27.102803738317753,71
1000000BOBUSDT,5m,A1,"{""n"": 2.6264449349629637, ""period"": 34}",3.4376773935640426,0.6843631143614624,0.37686954750333346,50.0,11
1000000BOBUSDT,5m,A1,"{""n"": 2.7117795804659663, ""period"": 34}",2.1709726715727573,0.45138769359322023,1.0364780926419126,47.82608695652174,11
1000000BOBUSDT,5m,A1,"{""n"": 1.8056449056790085, ""period"": 34}",-12.5680014650995,-1.3222708716638154,14.067091424927725,28.49462365591398,59
1000000BOBUSDT,5m,A1,"{""n"": 2.576400042389302, ""period"": 32}",2.6873190585187334,0.5544628769062528,0.6120412668655595,50.0,11
1000000BOBUSDT,5m,A1,"{""n"": 2.60623579694638, ""period"": 27}",1.819275867018888,0.4269504545727624,0.5558692569107349,50.0,11
1000000BOBUSDT,5m,A1,"{""n"": 2.7193459850517856, ""period"": 34}",2.1709726715727573,0.45138769359322023,1.0364780926419126,47.82608695652174,11
1000000BOBUSDT,5m,A1,"{""n"": 2.495194192011858, ""period"": 38}",0.8803893901723869,0.14516859038282368,1.971417446325574,41.46341463414634,18
1000000BOBUSDT,5m,A1,"{""n"": 3.1323210057291444, ""period"": 36}",1.6238008216925337,0.405066691364216,0.8442781403110278,45.45454545454545,5
1000000BOBUSDT,5m,A1,"{""n"": 3.000263079701413, ""period"": 28}",0.5010784227551079,0.15633921421863456,0.8872437433862013,41.66666666666667,6
1000000BOBUSDT,5m,A1,"{""n"": 2.121601513085617, ""period"": 24}",-3.0779826499169882,-0.5123042578330074,5.377193658947988,30.120481927710845,37
1000000BOBUSDT,5m,A1,"{""n"": 2.1797355544665162, ""period"": 23}",-1.0836926383599788,-0.18309013460339726,3.869394920347069,33.33333333333333,30
1000000BOBUSDT,5m,A1,"{""n"": 2.3996435361442723, ""period"": 30}",1.0952478860559056,0.21081195804525768,2.3942688940674306,40.0,20
1000000BOBUSDT,5m,A1,"{""n"": 2.643516934616191, ""period"": 38}",2.190870881761864,0.42839639396762663,1.582731141721716,42.42424242424242,15
1000000BOBUSDT,5m,A1,"{""n"": 2.484692989835928, ""period"": 30}",2.1021698062259286,0.42351258006379827,0.9180059098408022,46.666666666666664,14
