Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%),样本外收益(%),去水分夏普,SPA显著性(是/否),PBO(过拟合概率),稳健性通过(是/否)
ADAUSDT,30m,A6,"{""lookback"": 28, ""max_depth"": 10, ""n_estimators"": 378}",122629.60770758957,4958186.815366481,5.932242706347077,56.31257631257631,1339,43.56022875322698,107.11999999999999,0.0,12.969001375174628,34998.589915243196,5.9416820983201015,否,0.14166666666666666,否
BNBUSDT,1h,A6,"{""lookback"": 29, ""max_depth"": 10, ""n_estimators"": 415}",692.0332039282096,54059.89417574405,4.41307812859599,56.49977032613689,609,16.23724358112608,48.72,0.0,4.617765039064802,301.3169955384834,4.426432080729014,否,0.03888888888888889,否
BTCUSDT,30m,A6,"{""lookback"": 56, ""max_depth"": 10, ""n_estimators"": 349}",680.9356579829267,2175.3480284661423,3.8585741320857294,52.86019463565156,1212,17.947659193767873,96.96,0.0,1.9753279995505997,321.3979819282761,3.8680143432726393,否,0.005555555555555556,否
ETHUSDT,30m,A6,"{""lookback"": 23, ""max_depth"": 10, ""n_estimators"": 302}",34984.547946634746,770612.6026250332,2.6635475061426663,56.024096385542165,1254,18.51429031929004,100.32,0.0,2.0123849557630233,5993.564553246952,2.6730090920404606,否,0.0,否
SOLUSDT,5m,A6,"{""lookback"": 43, ""max_depth"": 9, ""n_estimators"": 187}",78.90524153263571,15504.106153493574,5.498129803257082,55.494505494505496,213,2.9184257009826187,17.04,0.0,1.1415914798158304,-3.67961171846404,5.520686996729915,否,0.041666666666666664,否
XRPUSDT,5m,A6,"{""lookback"": 42, ""max_depth"": 7, ""n_estimators"": 200}",32.06670052872431,1018.6935947892841,3.705255469645855,51.95154777927322,214,2.377256471483158,17.119999999999997,0.0,1.8774449068762689,-24.133334713780936,3.7278126631186876,否,0.025,否
