表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
MANAUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
METISUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,106413
MANAUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
MANAUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
MANTAUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
MEUSDT_5m,2024-12-10,2025-08-15,248,365,67.9,❌,72673
MEUSDT_15m,2024-12-10,2025-08-15,248,365,67.9,❌,24225
MEUSDT_30m,2024-12-10,2025-08-15,248,365,67.9,❌,12213
MEUSDT_1h,2024-12-10,2025-08-15,248,365,67.9,❌,6256
MEUSDT_2h,2024-12-10,2025-08-15,248,365,67.9,❌,3029
MEUSDT_4h,2024-12-10,2025-08-15,248,365,67.9,❌,1499
MEUSDT_1d,2024-12-10,2025-08-14,248,365,67.9,❌,251
MASKUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
