表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
QTUMUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,18848
QUICKUSDT_5m,2024-09-06,2025-08-15,344,365,94.2,❌,102194
PUNDIXUSDT_1h,2025-04-30,2025-08-15,108,365,29.6,❌,4944
PUMPUSDT_2h,2025-07-10,2025-08-15,37,365,10.1,❌,491
PYTHUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,11139
QNTUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,11131
QTUMUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9874
QUICKUSDT_15m,2024-09-06,2025-08-15,344,365,94.2,❌,35229
PUNDIXUSDT_2h,2025-04-30,2025-08-15,108,365,29.6,❌,1341
PUMPUSDT_4h,2025-07-10,2025-08-15,37,365,10.1,❌,423
PYTHUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
QNTUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
QTUMUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
QUICKUSDT_30m,2024-09-06,2025-08-15,344,365,94.2,❌,20418
PUNDIXUSDT_4h,2025-04-30,2025-08-15,108,365,29.6,❌,2037
PUMPUSDT_1d,2025-07-10,2025-08-15,37,365,10.1,❌,72
PYTHUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3584
QNTUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3583
QTUMUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3584
QUICKUSDT_1h,2024-09-06,2025-08-15,344,365,94.2,❌,9354
PUNDIXUSDT_1d,2025-04-30,2025-08-15,108,365,29.6,❌,473
PYTHUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
QNTUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
QTUMUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
QUICKUSDT_2h,2024-09-06,2025-08-15,344,365,94.2,❌,4176
RAREUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,107057
QUICKUSDT_4h,2024-09-06,2025-08-15,344,365,94.2,❌,3454
RAYSOLUSDT_5m,2024-12-10,2025-08-15,249,365,68.2,❌,72750
RAREUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,39076
RDNTUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,110257
REDUSDT_5m,2025-03-06,2025-08-15,163,365,44.7,❌,47934
REIUSDT_5m,2024-09-27,2025-08-15,323,365,88.5,❌,94074
QUICKUSDT_1d,2024-09-06,2025-08-15,344,365,94.2,❌,709
RAYSOLUSDT_15m,2024-12-10,2025-08-15,249,365,68.2,❌,24251
RAREUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,18039
RDNTUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35476
REDUSDT_15m,2025-03-06,2025-08-15,163,365,44.7,❌,15979
REIUSDT_15m,2024-09-27,2025-08-15,323,365,88.5,❌,31359
RAYSOLUSDT_30m,2024-12-10,2025-08-15,249,365,68.2,❌,12125
RAREUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9470
RDNTUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,21463
REDUSDT_30m,2025-03-06,2025-08-15,163,365,44.7,❌,8090
REIUSDT_30m,2024-09-27,2025-08-15,323,365,88.5,❌,15780
RENDERUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,108759
RAYSOLUSDT_1h,2024-12-10,2025-08-15,249,365,68.2,❌,6063
RAREUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
RDNTUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9674
REDUSDT_1h,2025-03-06,2025-08-15,163,365,44.7,❌,4195
REIUSDT_1h,2024-09-27,2025-08-15,323,365,88.5,❌,9926
RENDERUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,36876
RAYSOLUSDT_2h,2024-12-10,2025-08-15,249,365,68.2,❌,3032
RAREUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3583
RDNTUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
REDUSDT_2h,2025-03-06,2025-08-15,163,365,44.7,❌,1998
REIUSDT_2h,2024-09-27,2025-08-15,323,365,88.5,❌,3921
RENDERUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,19639
RAYSOLUSDT_4h,2024-12-10,2025-08-15,249,365,68.2,❌,1517
RAREUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
