Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-33.24168820442319,-12.775873128925209,-0.39207246645007215,47.95330171470266,285,36.023022440556694,22.799999999999997,0.0,1.1389563286730933
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-41.48884668007633,-16.58091485913542,-0.5176588117612444,47.494016102125194,343,42.31025916514698,27.439999999999998,0.0,1.3711512919878186
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 44}",-50.1793694766133,-20.996797062077498,-0.6793627678787724,46.89154878491114,420,51.00965534958082,33.599999999999994,0.0,1.6794101225952989
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 52}",-46.530895738245945,-19.08533474953683,-0.6052739166475251,47.133526850507984,360,47.298266989830275,28.799999999999997,0.0,1.4392084364076516
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 56}",-50.07608787058426,-20.941434591503562,-0.6755380900915654,47.07377287249492,381,50.75746564664614,30.479999999999997,0.0,1.5232790265733285
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 62}",-39.69547316350368,-15.724667077629684,-0.4917182117842746,47.53180661577608,327,41.75823951860658,26.16,0.0,1.3070975090044459
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 60}",-33.70229036255763,-12.979908751207459,-0.3980645564564478,48.04995617879054,278,36.73566900314027,22.24,0.0,1.1109327986178676
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 42}",-40.662527153086984,-16.184261477940776,-0.5074882978888595,47.50311652122901,356,42.11225734822017,28.48,0.0,1.4231949906618087
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-33.521655958439545,-12.899780616287494,-0.39609255265281923,48.09349890430972,277,36.894290998011215,22.16,0.0,1.106929437181407
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-41.48884668007633,-16.58091485913542,-0.5176588117612444,47.494016102125194,343,42.31025916514698,27.439999999999998,0.0,1.3711512919878186
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 42}",-49.36999636683721,-20.564960831344514,-0.6629431727299996,46.929316338354575,427,50.60698610578456,34.16,0.0,1.7074336526505243
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-33.24168820442319,-12.775873128925209,-0.39207246645007215,47.95330171470266,285,36.023022440556694,22.799999999999997,0.0,1.1389563286730933
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.62550147142962,-15.691602655722136,-0.48757921896787204,47.57189661448854,334,40.876824654426315,26.72,0.0,1.3351210390596713
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 42}",-41.667430252427486,-16.667125726427166,-0.5252670987932193,47.39457721259958,368,43.12168245790849,29.439999999999998,0.0,1.4712353278993384
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 46}",-41.04950321143788,-16.369561204356444,-0.5138164640273692,47.573669549919366,329,42.05590296085956,26.32,0.0,1.3151042318773674
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 66}",-30.87946340261628,-11.743846059874851,-0.35768627362631544,48.321755027422306,257,34.191379805432135,20.56,0.0,1.026862208452191
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 66}",-34.64479831622293,-13.40035923644236,-0.41235400799546906,48.09978846013568,269,37.411935793376315,21.519999999999996,0.0,1.0749025456897205
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 50}",-49.28603424322512,-20.520425562580037,-0.66108694254487,46.93877551020408,394,50.329299988224506,31.52,0.0,1.5753227252473188
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.62550147142962,-15.691602655722136,-0.48757921896787204,47.57189661448854,334,40.876824654426315,26.72,0.0,1.3351210390596713
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 54}",-37.12703167034768,-14.527227401190256,-0.44890302257685305,47.767272727272726,309,38.7882984287521,24.72,0.0,1.2350370031481517
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 70}",-39.11839629946188,-15.45272970729843,-0.48343271173731694,47.73007917483838,309,41.03749119829337,24.72,0.0,1.235037003148152
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 68}",-32.046864616451586,-12.2509017605549,-0.3747709258251807,48.26102807145461,254,35.28618356585188,20.32,0.0,1.0148521241428088
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.163431320147062,-11.435639110068275,-0.34689142808662293,48.35140839944683,248,33.644916321685,19.84,0.0,0.9908319555240442
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.163431320147062,-11.435639110068275,-0.34689142808662293,48.35140839944683,248,33.644916321685,19.84,0.0,0.9908319555240442
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-30.163431320147062,-11.435639110068275,-0.34689142808662293,48.35140839944683,248,33.644916321685,19.84,0.0,0.9908319555240442
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 68}",-32.046864616451586,-12.2509017605549,-0.3747709258251807,48.26102807145461,254,35.28618356585188,20.32,0.0,1.0148521241428088
BTCUSDT,5m,A2,"{""fast"": 15, ""slow"": 71}",-31.813759983490698,-12.149195790354494,-0.3703449032449553,48.30496144332897,249,34.181004182712314,19.919999999999998,0.0,0.9948353169605048
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 75}",-33.50531397025562,-12.892538536962405,-0.3945332984290064,48.09005083514887,264,36.33367893648294,21.119999999999997,0.0,1.0548857385074166
BTCUSDT,5m,A2,"{""fast"": 15, ""slow"": 68}",-33.698074483066385,-12.97803697160852,-0.39904635347191647,48.086316249908876,261,36.17156282049996,20.88,0.0,1.0428756541980342
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 61}",-34.25561494471117,-13.226262293665702,-0.4063837787900496,48.03126597998393,288,37.47641890245642,23.04,0.0,1.1509664129824753
