Symbol,时间周期,策略,参数JSON,总收益(%),夏普比,最大回撤(%),胜率(%),交易次数
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-33.0372972882777,-0.3891889144828018,36.02303444751654,47.95680093403386,285
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-41.42093377336652,-0.5165562540358847,42.310273486293184,47.497461192514145,343
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 44}",-50.235121608576726,-0.6805105816560846,51.00967069824147,46.88769587928033,420
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 52}",-46.54765399552431,-0.605594648455816,47.298280782249,47.12969010813557,360
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 56}",-49.96283817997522,-0.6734422222902161,50.757479270243536,47.07719119889623,381
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 62}",-39.79022447370401,-0.4933231359399837,41.75825206028825,47.527991856914355,327
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 60}",-34.038221649541846,-0.4034564114878759,36.73568087609633,48.046161712073626,278
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 42}",-40.93227745481551,-0.5123730401916815,42.11227271400495,47.49926664711059,356
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-33.626105174550005,-0.39768908249591817,36.8943024166165,48.08970706406604,277
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-41.42093377336652,-0.5165562540358847,42.310273486293184,47.497461192514145,343
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 42}",-49.600164873720985,-0.6679369364400397,50.60700183899325,46.92547258636923,427
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-33.0372972882777,-0.3891889144828018,36.02303444751654,47.95680093403386,285
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.731671173831174,-0.4893688513179853,40.8768389332392,47.56807921945537,334
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 42}",-41.93261274875111,-0.5301744038285892,43.12169798061507,47.390732349071776,368
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 46}",-41.177411280778905,-0.5160556780137596,42.055917171261704,47.56982625907192,329
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 66}",-30.681263364984012,-0.35496822217816043,34.191391221509136,48.32528886938716,257
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 66}",-34.45739579542223,-0.4096562068825737,37.411946837670165,48.10329734461628,269
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 50}",-49.227173336407674,-0.6599878251484378,50.32931417563869,46.94217268582182,394
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-39.731671173831174,-0.4893688513179853,40.8768389332392,47.56807921945537,334
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 54}",-37.19649090717368,-0.4500181187597852,38.7883111517908,47.763473707178704,309
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 70}",-38.90566257272664,-0.48019951427805774,41.037503190105994,47.73354641871277,309
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 68}",-31.907906179609256,-0.37281397112651254,35.286194694955874,48.26454717806621,254
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-29.919403777588684,-0.34360690540492234,33.644927435407304,48.35492793710875,248
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-29.919403777588684,-0.34360690540492234,33.644927435407304,48.35492793710875,248
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 70}",-29.919403777588684,-0.34360690540492234,33.644927435407304,48.35492793710875,248
BTCUSDT,5m,A2,"{""fast"": 18, ""slow"": 66}",-29.39202681892964,-0.3370669429564839,31.934585314786133,48.39583943744506,249
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 57}",-38.053768432612756,-0.46458784147415133,39.59393373108841,47.73803453048736,314
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 73}",-26.586979115105535,-0.29764348806071983,30.761877677036765,48.491896213387605,237
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 70}",-33.14736672886387,-0.38946786877859685,35.849797785687365,48.17698857433957,266
BTCUSDT,5m,A2,"{""fast"": 17, ""slow"": 64}",-31.60920900952503,-0.3684758648652701,34.82212674942189,48.28797190517998,261
BTCUSDT,5m,A2,"{""fast"": 17, ""slow"": 70}",-28.917774959671426,-0.32991449137828505,32.26672123276009,48.388508093918624,248
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 70}",-33.987364138324295,-0.4014735183476356,36.44576354914144,48.18856394587516,264
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 63}",-35.07949276443723,-0.42030267174329533,38.06592154868657,47.93599766201505,286
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 65}",-34.64159169801667,-0.4127342706027897,37.26479135876705,47.89143440828834,284
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 67}",-34.39466376973551,-0.40885369200732496,37.47546555936198,48.00844680696134,277
BTCUSDT,5m,A2,"{""fast"": 13, ""slow"": 57}",-38.053768432612756,-0.46458784147415133,39.59393373108841,47.73803453048736,314
BTCUSDT,5m,A2,"{""fast"": 19, ""slow"": 68}",-30.819266051470972,-0.3566749070183462,33.887538555350005,48.309993401275754,245
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 66}",-34.45739579542223,-0.4096562068825737,37.411946837670165,48.10329734461628,269
BTCUSDT,5m,A2,"{""fast"": 17, ""slow"": 69}",-30.966707491622802,-0.35884757737246015,33.93937930569309,48.30254800321238,254
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 74}",-32.222648943096225,-0.3763632930930775,34.85045221634567,48.19715033439954,253
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 58}",-35.65559786871404,-0.42664630763828043,38.09013231168874,47.99359114412643,288
BTCUSDT,5m,A2,"{""fast"": 17, ""slow"": 72}",-27.980590049338105,-0.3165225374173457,31.74708411600212,48.437272859427246,244
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 72}",-32.61010141123095,-0.3818498297129776,35.3566870547598,48.1072440601613,267
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 64}",-34.31336057185821,-0.4078243067623968,37.56590014719552,48.04007605675004,272
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 56}",-36.77787526222844,-0.4435333527821414,38.29983018645532,47.87953735360443,310
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 64}",-7.475567112052916,-0.1230409717470769,13.047868381684125,47.482169872487574,94
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 50}",-7.037600024551494,-0.11185842820755998,14.26519667705196,47.54239107104529,114
BTCUSDT,15m,A2,"{""fast"": 8, ""slow"": 44}",-9.898310771164699,-0.1654165511520607,17.705305296612917,47.02355460385439,141
BTCUSDT,15m,A2,"{""fast"": 10, ""slow"": 52}",-12.673328998902612,-0.22059673398269602,18.826661122350508,47.073954983922825,120
BTCUSDT,15m,A2,"{""fast"": 8, ""slow"": 56}",-14.557294978895097,-0.2584618808763746,19.46213144640563,46.918319471102585,123
BTCUSDT,15m,A2,"{""fast"": 10, ""slow"": 62}",-8.647371268367166,-0.14356484917296825,13.964873353154083,47.43423889607589,102
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 60}",-5.29573410270271,-0.08282289792017332,12.357556808983794,47.6118106817195,88
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 42}",-8.126571099984648,-0.13286142119927397,14.176026026144218,47.58605758822256,125
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 62}",-2.6021875256175497,-0.033637569172647756,10.922855959468425,47.67567567567568,88
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 50}",-7.037600024551494,-0.11185842820755998,14.26519667705196,47.54239107104529,114
BTCUSDT,15m,A2,"{""fast"": 8, ""slow"": 42}",-8.727990735213197,-0.14331988140811044,16.57179172443164,47.099122243630916,145
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 64}",-7.475567112052916,-0.1230409717470769,13.047868381684125,47.482169872487574,94
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 48}",-6.874776520392622,-0.11089149864121295,12.744792809154015,47.611843527123405,111
BTCUSDT,15m,A2,"{""fast"": 12, ""slow"": 42}",-7.351428942930416,-0.11717241183048578,15.189751084489245,47.7351164797239,126
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 46}",-7.655954137469645,-0.125730426294204,13.698633569087216,47.35364009505293,114
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 66}",-3.356125295133272,-0.0474183361278517,12.334831830405824,47.64171354392038,81
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 66}",-5.00709450720811,-0.07678605370536291,13.524565219881335,47.656081227046876,85
BTCUSDT,15m,A2,"{""fast"": 8, ""slow"": 50}",-12.501368500443865,-0.2167746324755834,18.710184095893425,46.89773213521609,132
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 48}",-6.874776520392622,-0.11089149864121295,12.744792809154015,47.611843527123405,111
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 54}",-8.840979292936346,-0.14686723427361603,14.159245779896768,47.47148698084786,107
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 68}",-2.4099723229834225,-0.030384765963753987,11.809137176305583,47.79316313284293,78
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 70}",-1.2311443615819484,-0.009368481695770172,12.668980579262612,47.8448275862069,77
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 70}",-1.2311443615819484,-0.009368481695770172,12.668980579262612,47.8448275862069,77
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 70}",-1.2311443615819484,-0.009368481695770172,12.668980579262612,47.8448275862069,77
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 70}",-1.2311443615819484,-0.009368481695770172,12.668980579262612,47.8448275862069,77
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 71}",-3.5820061835596495,-0.05135424003569604,12.918711172487429,47.75086505190311,76
BTCUSDT,15m,A2,"{""fast"": 13, ""slow"": 57}",-4.061928436724427,-0.05953036476992229,12.4851212854857,47.689982728842836,100
BTCUSDT,15m,A2,"{""fast"": 13, ""slow"": 63}",-6.493621348785306,-0.10398766624320807,12.262461320265405,47.481081081081086,90
BTCUSDT,15m,A2,"{""fast"": 15, ""slow"": 43}",-5.127133867782674,-0.07805556109793255,11.826132413221924,47.73760554232518,121
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 74}",-4.678779495597363,-0.07137742232588334,15.58110849284634,47.74403470715835,75
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 61}",-3.9483226073172784,-0.058572636338561725,11.977639180851785,47.64181699630515,85
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 74}",-4.678779495597363,-0.07137742232588334,15.58110849284634,47.74403470715835,75
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 56}",-4.48986786789074,-0.06722853217944876,12.260760681778414,47.666378565254966,98
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 65}",-5.315757235635276,-0.08248482697559135,12.983504853525806,47.545945945945945,86
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 51}",-7.7388545649233365,-0.1276370090236343,13.488207974627564,47.54806653704904,106
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 75}",-2.591503627784175,-0.03375512415526341,14.698188219345276,47.86380394708306,73
BTCUSDT,15m,A2,"{""fast"": 15, ""slow"": 66}",-4.476544338801435,-0.06755847707105238,12.928431465805767,47.72628843655262,81
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 67}",-3.440635027419503,-0.048823521514997484,12.372733029027849,47.63549989203196,80
BTCUSDT,15m,A2,"{""fast"": 14, ""slow"": 57}",-5.941837985969256,-0.09370557932798508,13.16865764090397,47.58099352051836,100
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 61}",-4.7052243141666334,-0.07242982428906897,12.441342035295067,47.61489871487694,84
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 76}",-1.5223410263640824,-0.014552843484711581,14.804256115506597,47.88519637462236,74
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 57}",-5.126434849472106,-0.07961352835106433,12.331995649473882,47.36613917190549,92
BTCUSDT,15m,A2,"{""fast"": 15, ""slow"": 69}",0.2670999106299865,0.016824752728467587,11.637385505032405,47.91711633930499,77
BTCUSDT,15m,A2,"{""fast"": 17, ""slow"": 67}",-2.9569045505990266,-0.040251446930864486,12.061170672540644,47.81479878840329,77
BTCUSDT,15m,A2,"{""fast"": 16, ""slow"": 73}",-4.067228538842804,-0.059937576106397626,15.712279212099178,47.76959722823733,75
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 64}",1.6516674179024804,0.057784644278383486,11.83184847552965,47.79792746113989,44
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 50}",-3.558671485702458,-0.0720823756262782,13.789810377875511,47.368421052631575,59
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 44}",2.476268892864164,0.07740719613940263,12.436462039773533,47.98814061838204,67
BTCUSDT,30m,A2,"{""fast"": 10, ""slow"": 52}",-2.2674713539029723,-0.03940936828431154,14.834126833833427,47.653583617747444,61
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 56}",1.9521000297626268,0.06497001479227588,12.519577768069867,47.822374039282664,59
BTCUSDT,30m,A2,"{""fast"": 10, ""slow"": 62}",1.3516560698907165,0.05042571239678064,12.985284111895702,47.52604166666667,47
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 60}",-0.24253712539218375,0.01083085033892496,12.472277887252947,47.52900730554362,45
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 42}",-8.707750616496146,-0.20886693180335994,14.651621246522096,47.459779847586795,62
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 62}",2.856402480710196,0.08727652861861923,10.931645381647737,48.06368330464716,44
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 50}",-3.558671485702458,-0.0720823756262782,13.789810377875511,47.368421052631575,59
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 42}",2.331375966112237,0.07418987071501094,11.741637548995032,48.02379940501487,69
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 64}",1.6516674179024804,0.057784644278383486,11.83184847552965,47.79792746113989,44
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 48}",-1.8693956922641752,-0.029299241541880894,12.621329958133742,47.51683501683502,61
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 42}",-7.956121987368048,-0.18775045026459058,15.564228666837499,47.493627867459644,64
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 46}",-0.3991011412705747,0.007486569846452038,11.926476218230441,47.9746835443038,57
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 66}",-1.5580689754180033,-0.021133768193634526,12.656824785046549,47.666378565254966,39
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 66}",1.7325061669042796,0.05928490365199762,11.915442103504892,48.05867126833478,40
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 50}",1.0075145806602848,0.04183047685267948,13.321626034825396,47.75928297055058,63
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 48}",-1.8693956922641752,-0.029299241541880894,12.621329958133742,47.51683501683502,61
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 54}",-2.121736813674868,-0.03672147957162226,11.75364594107795,47.20443875373453,55
BTCUSDT,30m,A2,"{""fast"": 10, ""slow"": 70}",0.41197645660364657,0.02732505975646223,12.169239318773673,47.83737024221453,42
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 58}",-1.4149502978885842,-0.018867681809597466,12.94858684138277,47.36616702355461,46
BTCUSDT,30m,A2,"{""fast"": 10, ""slow"": 70}",0.41197645660364657,0.02732505975646223,12.169239318773673,47.83737024221453,42
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 58}",3.339129268923613,0.09936733237826455,10.850668596222112,47.60878931495045,47
BTCUSDT,30m,A2,"{""fast"": 14, ""slow"": 60}",3.0431629946304106,0.09209378801367482,11.193280821192975,47.76055124892334,44
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 64}",1.6516674179024804,0.057784644278383486,11.83184847552965,47.79792746113989,44
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 65}",-2.2100116852948104,-0.037289343164811826,12.976796126183665,47.71748492678725,39
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 73}",-0.7069694229294154,-0.00012684852274519348,12.408196451587816,47.94638996973627,37
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 65}",1.7822202919121954,0.06096346274890915,13.159938836867656,47.514051015996536,51
BTCUSDT,30m,A2,"{""fast"": 13, ""slow"": 71}",0.6475120240978738,0.03304913691872844,11.782837666125822,47.94638996973627,41
BTCUSDT,30m,A2,"{""fast"": 11, ""slow"": 56}",-1.0458049770897038,-0.009334717745303062,13.09457401727151,47.543103448275865,55
BTCUSDT,30m,A2,"{""fast"": 7, ""slow"": 56}",1.5921282162503214,0.05617674003273365,11.236372944841278,47.86142001710864,60
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 42}",2.331375966112237,0.07418987071501094,11.741637548995032,48.02379940501487,69
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 68}",-0.20323688832235565,0.012264411625208098,11.79301308159314,47.83737024221453,41
BTCUSDT,30m,A2,"{""fast"": 16, ""slow"": 60}",-0.24253712539218375,0.01083085033892496,12.472277887252947,47.52900730554362,45
BTCUSDT,30m,A2,"{""fast"": 13, ""slow"": 66}",2.886598325571521,0.08765769807046896,11.873768522038542,48.091934084995664,40
BTCUSDT,30m,A2,"{""fast"": 11, ""slow"": 70}",0.058928499311683424,0.018700514300462517,12.650853800129013,47.875108412836084,42
BTCUSDT,30m,A2,"{""fast"": 6, ""slow"": 60}",2.381023821458994,0.07523429081630274,10.475724357381699,47.781569965870304,60
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 55}",-1.4745413968706766,-0.020164363735516104,12.653349280498071,47.35938170888793,57
BTCUSDT,30m,A2,"{""fast"": 15, ""slow"": 62}",0.25866642914362803,0.023400603436682516,11.744618423744068,47.75160599571734,44
BTCUSDT,30m,A2,"{""fast"": 8, ""slow"": 44}",2.476268892864164,0.07740719613940263,12.436462039773533,47.98814061838204,67
BTCUSDT,30m,A2,"{""fast"": 7, ""slow"": 66}",3.457675706296248,0.1013359910859586,12.395166203172481,47.37068965517241,54
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 69}",0.18591928544229308,0.021789440621895514,11.692722209359296,47.96712802768166,41
BTCUSDT,30m,A2,"{""fast"": 10, ""slow"": 61}",1.6177304078736965,0.05694398453050915,12.475256058354155,47.61698440207972,48
BTCUSDT,30m,A2,"{""fast"": 12, ""slow"": 59}",3.5361616656249595,0.10427927874758607,11.152099890222855,47.728256166161835,46
BTCUSDT,1h,A2,"{""fast"": 12, ""slow"": 64}",-5.12984671272606,-0.15960130568965433,16.897111013269473,47.16981132075472,26
BTCUSDT,1h,A2,"{""fast"": 12, ""slow"": 50}",0.4847895707185579,0.0411353604975557,14.489878106056175,47.875108412836084,26
BTCUSDT,1h,A2,"{""fast"": 8, ""slow"": 44}",-0.43308613210091274,0.009769453974991023,14.652141037639154,46.93877551020408,35
BTCUSDT,1h,A2,"{""fast"": 10, ""slow"": 52}",-2.7023997742213535,-0.07203234732823917,16.026527610146747,47.38219895287958,28
BTCUSDT,1h,A2,"{""fast"": 8, ""slow"": 56}",-2.4650583352815225,-0.0634836440245097,16.732954687580282,47.78067885117493,27
BTCUSDT,1h,A2,"{""fast"": 10, ""slow"": 62}",-6.314116446137696,-0.202133178546388,17.41120603739614,47.20068906115418,26
