Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.07303559752835692, ""n_estimators"": 250, ""num_leaves"": 58}",-69.87316446466481,-55.6397454249207,-1.808811668683835,45.34242129178838,1002,69.95744563021272,80.16,0.0,4.181287545456593
BTCUSDT,5m,A5,"{""lookback"": 22, ""lr"": 0.07165582891480608, ""n_estimators"": 250, ""num_leaves"": 40}",-93.76052023878862,-84.7341842499367,-4.895551226066819,34.49437019888456,2564,93.76052023878862,205.11999999999998,0.0,10.69942242170729
BTCUSDT,5m,A5,"{""lookback"": 24, ""lr"": 0.05705965107638018, ""n_estimators"": 150, ""num_leaves"": 36}",-93.53659710232837,-84.36512612217054,-4.827810276897903,34.727477247162284,2458,93.53659710232837,196.64,0.0,10.257090605521261
BTCUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.055547204799548444, ""n_estimators"": 200, ""num_leaves"": 44}",-89.85763640334177,-78.78392429794667,-3.8831052864016997,37.881002087682674,2007,89.85763640334177,160.56,0.0,8.375093915899583
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.03724137919119403, ""n_estimators"": 150, ""num_leaves"": 48}",-89.87117782515335,-78.80311934913449,-4.125227953465709,36.6315102750897,2370,89.87117782515335,189.6,0.0,9.88987173925362
BTCUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.0465166039011472, ""n_estimators"": 150, ""num_leaves"": 56}",-79.28974863068352,-65.58723611246855,-2.4182324243263973,43.689720550655345,1248,79.32369895790877,99.83999999999999,0.0,5.207831194341145
BTCUSDT,5m,A5,"{""lookback"": 46, ""lr"": 0.02490481651712935, ""n_estimators"": 300, ""num_leaves"": 54}",-77.22853048225582,-63.30252619027017,-2.229091692149663,44.238952536824875,1207,77.23450140539343,96.55999999999999,0.0,5.036740586193721
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.06488214637762404, ""n_estimators"": 250, ""num_leaves"": 34}",-89.33529178079137,-78.04966913697555,-3.967989606732702,36.9701726844584,1952,89.34256735303295,156.16,0.0,8.145582124482305
BTCUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.023244672466651038, ""n_estimators"": 250, ""num_leaves"": 54}",-91.50203297805382,-81.18010695306378,-4.235999331551059,37.26993865030675,2294,91.50203297805382,183.51999999999998,0.0,9.572728172931562
BTCUSDT,5m,A5,"{""lookback"": 42, ""lr"": 0.046099877219048374, ""n_estimators"": 200, ""num_leaves"": 42}",-88.85440112762973,-77.38388068225359,-4.0091144031127595,37.58101724706141,2233,88.85440112762973,178.64,0.0,9.31817873154149
BTCUSDT,5m,A5,"{""lookback"": 48, ""lr"": 0.036099485222632254, ""n_estimators"": 150, ""num_leaves"": 32}",-85.60558114333894,-73.10438930216266,-3.371769027893981,39.212346993081425,2099,85.60560236571185,167.92,0.0,8.759004548815758
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.026289837022788115, ""n_estimators"": 250, ""num_leaves"": 56}",-89.68892010272982,-78.54545610080875,-4.069275445815059,36.58483121437966,2408,89.68892010272982,192.64,0.0,10.048443522414647
BTCUSDT,5m,A5,"{""lookback"": 26, ""lr"": 0.056546248945299166, ""n_estimators"": 250, ""num_leaves"": 40}",-57.72698459181568,-44.19668411045189,-1.2934076379808679,46.96503722887666,770,57.789345722971106,61.6,0.0,3.2131650798418923
BTCUSDT,5m,A5,"{""lookback"": 46, ""lr"": 0.025331110883950247, ""n_estimators"": 200, ""num_leaves"": 34}",-88.09109115808309,-76.34578060208246,-3.5810054227941475,39.582712369597616,1883,88.09109115808309,150.64,0.0,7.857649149795175
BTCUSDT,5m,A5,"{""lookback"": 50, ""lr"": 0.02102580139686467, ""n_estimators"": 300, ""num_leaves"": 38}",-62.894290065438206,-48.9143877875726,-1.484324548000695,46.44010332579916,883,63.10024289016927,70.63999999999999,0.0,3.684707487662846
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.03225705512060973, ""n_estimators"": 300, ""num_leaves"": 60}",-91.91235552148859,-81.80065426613125,-4.384683780882292,36.22543164295798,2272,91.91235552148859,181.76,0.0,9.480923456364652
BTCUSDT,5m,A5,"{""lookback"": 34, ""lr"": 0.0690196858528019, ""n_estimators"": 250, ""num_leaves"": 60}",-91.389862429725,-81.01216217409228,-4.268118251910187,35.91739647529463,1997,91.389862429725,159.76,0.0,8.33336449927826
BTCUSDT,5m,A5,"{""lookback"": 50, ""lr"": 0.041040997596399974, ""n_estimators"": 150, ""num_leaves"": 42}",-89.91887101012809,-78.8707907596931,-3.789731021541072,39.20438439005952,1916,89.92656893590718,153.28,0.0,7.9953562246455405
BTCUSDT,5m,A5,"{""lookback"": 32, ""lr"": 0.02768461375558231, ""n_estimators"": 300, ""num_leaves"": 38}",-90.03017761420725,-79.02912575036788,-4.006183669069816,37.37566137566137,2148,90.03017761420725,171.84,0.0,8.963478690260242
BTCUSDT,5m,A5,"{""lookback"": 26, ""lr"": 0.07855999386433501, ""n_estimators"": 250, ""num_leaves"": 46}",-56.72026025036768,-43.299752616720546,-1.2566925431681863,47.116782426102404,756,56.78410650076735,60.47999999999999,0.0,3.1547438965720405
BTCUSDT,5m,A5,"{""lookback"": 24, ""lr"": 0.07941264384079236, ""n_estimators"": 200, ""num_leaves"": 48}",-68.66470336042177,-54.44187626944979,-1.7339380625216454,45.473465140478666,908,68.7418355024798,72.63999999999999,0.0,3.789031029216154
BTCUSDT,5m,A5,"{""lookback"": 26, ""lr"": 0.0785969305286431, ""n_estimators"": 250, ""num_leaves"": 50}",-68.07313985844989,-53.86094361747495,-1.7160010467249833,45.86582196231319,967,68.101466245111,77.36,0.0,4.035234587281962
BTCUSDT,5m,A5,"{""lookback"": 20, ""lr"": 0.05986081065129362, ""n_estimators"": 300, ""num_leaves"": 44}",-95.07933944176987,-87.00269096502457,-5.347626943632733,33.14453534717852,2642,95.08252000009138,211.35999999999999,0.0,11.024911871353613
BTCUSDT,5m,A5,"{""lookback"": 26, ""lr"": 0.06335764096710488, ""n_estimators"": 250, ""num_leaves"": 46}",-94.93494091329269,-86.74549468540741,-5.336424695070967,33.79434121621622,2599,94.93494091329269,207.91999999999996,0.0,10.845475379881924
BTCUSDT,5m,A5,"{""lookback"": 20, ""lr"": 0.051837221515816836, ""n_estimators"": 200, ""num_leaves"": 52}",-95.45447999854747,-87.68255427146086,-5.475168723860237,32.89242533843133,2672,95.45447999854747,213.76,0.0,11.150100121217582
BTCUSDT,5m,A5,"{""lookback"": 31, ""lr"": 0.06175822170144071, ""n_estimators"": 229, ""num_leaves"": 48}",-92.28466638645057,-82.37255899871404,-4.491133354476141,35.81869807550741,2452,92.28466638645057,196.15999999999997,0.0,10.23205295554847
BTCUSDT,5m,A5,"{""lookback"": 37, ""lr"": 0.03230373193692861, ""n_estimators"": 162, ""num_leaves"": 26}",-85.78175360375025,-73.32784518212614,-3.606748137396858,38.80026960233655,1873,85.78175360375025,149.84,0.0,7.815919733173851
BTCUSDT,5m,A5,"{""lookback"": 28, ""lr"": 0.07501580716138698, ""n_estimators"": 276, ""num_leaves"": 50}",-90.91028769646108,-80.30192624782087,-4.357106768620682,34.22885572139304,1851,90.91648879049575,148.07999999999998,0.0,7.724115016606941
BTCUSDT,5m,A5,"{""lookback"": 35, ""lr"": 0.0665549586970314, ""n_estimators"": 287, ""num_leaves"": 50}",-89.59600665677505,-78.41466738734101,-3.9237933767203184,38.106448311156605,1918,89.5967054391055,153.43999999999997,0.0,8.003702107969806
BTCUSDT,5m,A5,"{""lookback"": 40, ""lr"": 0.04867569057185596, ""n_estimators"": 140, ""num_leaves"": 59}",-88.91954577702751,-77.47352219951684,-3.8721644649816915,37.29425507061697,2522,88.91954577702751,201.76,0.0,10.524158871897733
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.08621480150571766, ""n_estimators"": 245, ""num_leaves"": 44}",-87.06909913229181,-74.9888504530131,-3.1536539412262257,41.56621427969316,1481,87.06909913229181,118.47999999999999,0.0,6.180126601617978
BTCUSDT,5m,A5,"{""lookback"": 45, ""lr"": 0.020889551390882187, ""n_estimators"": 315, ""num_leaves"": 37}",-86.03738451574137,-73.65368064429154,-3.4228946888815743,39.50031625553447,2152,86.03738451574137,172.15999999999997,0.0,8.980170456908771
BTCUSDT,5m,A5,"{""lookback"": 38, ""lr"": 0.06110276820996461, ""n_estimators"": 247, ""num_leaves"": 44}",-92.86386982021165,-83.28033109196494,-4.496592059791384,36.872000783468806,2112,92.86386982021165,168.95999999999998,0.0,8.813252790423478
BTCUSDT,5m,A5,"{""lookback"": 27, ""lr"": 0.07438243234996571, ""n_estimators"": 251, ""num_leaves"": 46}",-93.55643675145693,-84.3976564113276,-5.036038557604246,34.81497235219056,2488,93.56098132029275,199.03999999999996,0.0,10.382278855385234
BTCUSDT,5m,A5,"{""lookback"": 50, ""lr"": 0.021273733373294357, ""n_estimators"": 287, ""num_leaves"": 38}",-62.894290065438206,-48.9143877875726,-1.484324548000695,46.44010332579916,883,63.10024289016927,70.63999999999999,0.0,3.684707487662846
BTCUSDT,5m,A5,"{""lookback"": 29, ""lr"": 0.08369705309965807, ""n_estimators"": 207, ""num_leaves"": 46}",-86.97194029227859,-74.86168533516111,-3.114241466892412,41.48211243611584,1490,86.97463943110628,119.19999999999999,0.0,6.21768307657717
BTCUSDT,5m,A5,"{""lookback"": 30, ""lr"": 0.08622780842846821, ""n_estimators"": 270, ""num_leaves"": 60}",-92.1064584737404,-82.0977298171369,-4.845356048388564,32.65519040166927,2018,92.11184352792434,161.44,0.0,8.420996274183038
BTCUSDT,5m,A5,"{""lookback"": 43, ""lr"": 0.020105727346867237, ""n_estimators"": 228, ""num_leaves"": 27}",-71.08747170310838,-56.859126038054384,-1.8914706863296695,45.31819688432218,1080,71.19659689908164,86.39999999999999,0.0,4.506776995102914
BTCUSDT,5m,A5,"{""lookback"": 25, ""lr"": 0.06760484162197729, ""n_estimators"": 257, ""num_leaves"": 38}",-95.38060779807462,-87.54728717027092,-5.493858047912644,33.038068121902356,2483,95.38060779807462,198.64,0.0,10.361414147074573
