Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-20.247045356490247,-14.210524152827386,-0.455331904280828,47.68518518518518,152,24.907691198154946,12.159999999999998,0.0,0.6322006618130477
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-26.92666082621016,-19.146750078770303,-0.628686868857957,47.22545031958164,179,27.947664669577065,14.32,0.0,0.7448700866906206
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 44}",-31.389618429675537,-22.52616363667691,-0.7565213807130174,46.6579482708515,219,31.965412916411452,17.52,0.0,0.9117877531759138
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 52}",-29.00344231679415,-20.710783141841517,-0.6882562533543982,46.836363636363636,185,29.86267514998282,14.799999999999999,0.0,0.7699077366634145
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 56}",-28.389813733813973,-20.247139200684515,-0.6690558856980261,47.07161496085822,189,29.638327390081066,15.119999999999997,0.0,0.786599503311944
BTCUSDT,5m,A2,"{""fast"": 10, ""slow"": 62}",-26.124519578712345,-18.54650413697747,-0.6075293716165547,47.13522874873719,173,27.744589549579214,13.84,0.0,0.7198324367178267
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 60}",-20.78127167183733,-14.600276134915536,-0.47119690650227714,47.76054500652268,147,23.885038821567917,11.76,0.0,0.6113359535023861
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 42}",-29.554903371445096,-21.128558438149504,-0.7137262481414334,47.08222811671088,185,30.22977812349331,14.799999999999999,0.0,0.7699077366634145
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 62}",-20.820822467495837,-14.62916459393232,-0.4705439862814768,47.957113880034775,146,25.034388540993636,11.679999999999998,0.0,0.6071630118402538
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 50}",-26.92666082621016,-19.146750078770303,-0.628686868857957,47.22545031958164,179,27.947664669577065,14.32,0.0,0.7448700866906206
BTCUSDT,5m,A2,"{""fast"": 8, ""slow"": 42}",-31.33414476104417,-22.48373089527761,-0.754269298990057,46.688934069125764,219,32.019129576902635,17.52,0.0,0.9117877531759138
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 64}",-20.247045356490247,-14.210524152827386,-0.455331904280828,47.68518518518518,152,24.907691198154946,12.159999999999998,0.0,0.6322006618130477
BTCUSDT,5m,A2,"{""fast"": 14, ""slow"": 48}",-25.665936116240218,-18.20428867415602,-0.5981756349326025,47.2113004223096,173,26.64261266193084,13.84,0.0,0.7198324367178267
BTCUSDT,5m,A2,"{""fast"": 12, ""slow"": 42}",-28.661713114841614,-20.452421515369636,-0.6891759262319864,46.99060481503229,190,29.807001022814717,15.2,0.0,0.7907724449740763
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 46}",-27.37639755629635,-19.48421951003585,-0.6510239019223071,47.17647058823529,172,28.44060208057807,13.76,0.0,0.7156594950556944
BTCUSDT,5m,A2,"{""fast"": 16, ""slow"": 66}",-18.333458066298324,-12.821291107878864,-0.40767061871717686,48.12355658198614,134,22.355813984984074,10.719999999999999,0.0,0.5570877118946659
