Symbol,时间周期,策略,参数JSON,总收益(%),年化(%),夏普比,胜率(%),交易次数,最大回撤(%),手续费滑点成本(%),资金费率影响(%),冲击成本(%)
BTCUSDT,5m,A3,"{""high"": 73.0, ""low"": 29.0, ""period"": 20}",-4.1551256980143165,-2.834289353205144,-0.3968648786541694,33.939393939393945,33,5.7700720636031155,2.6399999999999997,0.0,0.13770707485036685
BTCUSDT,5m,A3,"{""high"": 73.0, ""low"": 29.0, ""period"": 16}",-8.321031797725464,-5.71601023403735,-0.6551057937664756,30.407523510971785,84,9.668957719466519,6.72,0.0,0.3505270996191156
BTCUSDT,5m,A3,"{""high"": 69.0, ""low"": 21.0, ""period"": 14}",-0.9623138842232426,-0.6529780786791783,-0.1342724490711155,40.298507462686565,18,1.7498400443057949,1.44,0.0,0.07511294991838191
BTCUSDT,5m,A3,"{""high"": 69.0, ""low"": 23.0, ""period"": 16}",-1.7333728893901834,-1.1776578581766728,-0.23229469630001492,35.8974358974359,22,2.448245617683087,1.7599999999999998,0.0,0.09180471656691122
BTCUSDT,5m,A3,"{""high"": 64.0, ""low"": 21.0, ""period"": 18}",-0.8768650614005891,-0.5949142553094089,-0.2069562367178964,28.947368421052634,12,1.166175289655147,0.96,0.0,0.050075299945587945
BTCUSDT,5m,A3,"{""high"": 67.0, ""low"": 22.0, ""period"": 20}",-0.5295692434819421,-0.3590871869070589,-0.12812987023997888,34.285714285714285,9,0.9241118622589917,0.72,0.0,0.037556474959190955
BTCUSDT,5m,A3,"{""high"": 61.0, ""low"": 35.0, ""period"": 18}",-20.75500639211567,-14.581094174291486,-1.1746639840933337,34.11896745230079,199,21.04046900495654,15.919999999999998,0.0,0.8304153907643333
BTCUSDT,5m,A3,"{""high"": 71.0, ""low"": 32.0, ""period"": 12}",-29.896304390004946,-21.387725253794887,-1.7458715750101983,28.557784145176697,279,29.930007045353825,22.319999999999997,0.0,1.1642507237349196
BTCUSDT,5m,A3,"{""high"": 61.0, ""low"": 32.0, ""period"": 20}",-9.77050129600119,-6.72851358677522,-0.6999006356526574,30.53435114503817,102,10.617312660494383,8.159999999999998,0.0,0.4256400495374975
BTCUSDT,5m,A3,"{""high"": 67.0, ""low"": 27.0, ""period"": 16}",-4.8402589708686055,-3.3054040817355856,-0.45447623659804304,31.746031746031743,51,6.443661125074184,4.079999999999999,0.0,0.21282002476874873
BTCUSDT,5m,A3,"{""high"": 64.0, ""low"": 21.0, ""period"": 12}",-3.145109156371806,-2.1417523218492662,-0.39374498978836225,31.132075471698112,32,3.9033199996870604,2.5599999999999996,0.0,0.1335341331882345
BTCUSDT,5m,A3,"{""high"": 62.0, ""low"": 29.0, ""period"": 20}",-4.1551256980143165,-2.834289353205144,-0.3968648786541694,33.939393939393945,33,5.7700720636031155,2.6399999999999997,0.0,0.13770707485036685
BTCUSDT,5m,A3,"{""high"": 69.0, ""low"": 31.0, ""period"": 14}",-17.723955425517445,-12.381013929913,-1.1682301488515647,29.82731554160126,171,18.20264404929548,13.679999999999998,0.0,0.7135730242246282
BTCUSDT,5m,A3,"{""high"": 61.0, ""low"": 27.0, ""period"": 12}",-10.923798176571452,-7.537882143375397,-0.8612456330458623,29.67581047381546,121,12.17362825470991,9.68,0.0,0.5049259411180117
BTCUSDT,5m,A3,"{""high"": 60.0, ""low"": 34.0, ""period"": 14}",-29.671943893569896,-21.217361361733246,-1.647739002470597,31.21131741821397,282,29.75253970665491,22.559999999999995,0.0,1.1767695487213166
BTCUSDT,5m,A3,"{""high"": 63.0, ""low"": 35.0, ""period"": 20}",-16.365889271312916,-11.403771787167305,-0.9619683859379281,34.82993197278911,158,16.756850127742673,12.639999999999999,0.0,0.6593247826169079
BTCUSDT,5m,A3,"{""high"": 72.0, ""low"": 32.0, ""period"": 20}",-9.77050129600119,-6.72851358677522,-0.6999006356526574,30.53435114503817,102,10.617312660494383,8.159999999999998,0.0,0.4256400495374975
BTCUSDT,5m,A3,"{""high"": 65.0, ""low"": 22.0, ""period"": 16}",-1.296666584009054,-0.8803315021151392,-0.1883073362538958,32.78688524590164,17,2.024424749841036,1.3599999999999999,0.0,0.07094000825624958
BTCUSDT,5m,A3,"{""high"": 62.0, ""low"": 33.0, ""period"": 14}",-24.408087022545843,-17.269100731163846,-1.421474253618312,31.53439153439154,229,24.628912191188668,18.319999999999997,0.0,0.9556036406283033
BTCUSDT,5m,A3,"{""high"": 75.0, ""low"": 31.0, ""period"": 16}",-13.7133912368249,-9.509700521168751,-0.9709084656461555,29.508196721311474,130,14.471036802145932,10.4,0.0,0.5424824160772027
BTCUSDT,5m,A3,"{""high"": 67.0, ""low"": 24.0, ""period"": 18}",-2.003536662098948,-1.361809041581541,-0.2733742979158997,32.467532467532465,22,2.7164439956392283,1.7599999999999998,0.0,0.09180471656691123
BTCUSDT,5m,A3,"{""high"": 69.0, ""low"": 25.0, ""period"": 22}",-1.2044550234743157,-0.8176046388245095,-0.1841606768446915,31.666666666666664,14,2.1090133129564537,1.1199999999999999,0.0,0.0584211832698526
BTCUSDT,5m,A3,"{""high"": 66.0, ""low"": 20.0, ""period"": 22}",-0.24747615326083938,-0.16773063973153368,-0.07902153155575412,33.33333333333333,5,0.5797834987679606,0.4,0.0,0.02086470831066164
BTCUSDT,5m,A3,"{""high"": 66.0, ""low"": 25.0, ""period"": 22}",-1.2044550234743157,-0.8176046388245095,-0.1841606768446915,31.666666666666664,14,2.1090133129564537,1.1199999999999999,0.0,0.0584211832698526
BTCUSDT,5m,A3,"{""high"": 66.0, ""low"": 20.0, ""period"": 22}",-0.24747615326083938,-0.16773063973153368,-0.07902153155575412,33.33333333333333,5,0.5797834987679606,0.4,0.0,0.02086470831066164
BTCUSDT,5m,A3,"{""high"": 63.62700969690323, ""low"": 20.887983586492783, ""period"": 16}",-1.0071847117590127,-0.6834749833670606,-0.1490573180594995,32.0,15,1.864132217145198,1.2,0.0,0.06259412493198493
BTCUSDT,5m,A3,"{""high"": 72.73723776851386, ""low"": 20.249807524061954, ""period"": 21}",-0.5267877931672715,-0.3571995492685498,-0.14032098848165905,29.629629629629626,7,0.7711514036879752,0.5599999999999999,0.0,0.0292105916349263
BTCUSDT,5m,A3,"{""high"": 65.99464428632093, ""low"": 19.28879810966981, ""period"": 17}",-0.43240623145179846,-0.29315737043704715,-0.12119924998064711,29.166666666666668,7,0.6548766335730871,0.5599999999999999,0.0,0.029210591634926297
BTCUSDT,5m,A3,"{""high"": 59.96101151630335, ""low"": 26.588049184135432, ""period"": 16}",-4.399371832173815,-3.0021141179700894,-0.43688900950922366,32.55813953488372,47,5.933120121500068,3.7599999999999993,0.0,0.19612825812021942
BTCUSDT,5m,A3,"{""high"": 72.77169152578458, ""low"": 15.546401373121864, ""period"": 24}",0.021440462701050045,0.014525286957334238,0.01520430146154446,33.33333333333333,1,0.23622962738221176,0.07999999999999999,0.0,0.0041729416621323285
BTCUSDT,5m,A3,"{""high"": 64.87434997499344, ""low"": 19.013288274815373, ""period"": 20}",-0.18518810150125464,-0.1255013613773892,-0.06138947472982544,30.0,6,0.5177029482959727,0.48,0.0,0.025037649972793972
BTCUSDT,5m,A3,"{""high"": 69.06940642604583, ""low"": 28.110105908934063, ""period"": 25}",-2.1593697636733578,-1.4681036946985415,-0.23384802315256015,35.51401869158878,22,3.8131124751603074,1.7599999999999998,0.0,0.09180471656691122
BTCUSDT,5m,A3,"{""high"": 71.51833671798192, ""low"": 30.02655834007181, ""period"": 25}",-2.667599047694269,-1.8151499185918074,-0.2620865500042319,37.410071942446045,24,4.428234438533895,1.92,0.0,0.10015059989117589
BTCUSDT,5m,A3,"{""high"": 55.74401113574352, ""low"": 22.08191686193841, ""period"": 24}",-0.7090067002747613,-0.48089882929358563,-0.17641175762927616,29.03225806451613,7,1.0340863039266734,0.5599999999999999,0.0,0.0292105916349263
BTCUSDT,5m,A3,"{""high"": 63.55055933153859, ""low"": 18.65154831629399, ""period"": 15}",-0.8531328582017883,-0.5787907134553572,-0.21807279766497276,27.27272727272727,10,0.9254505140021907,0.8,0.0,0.04172941662132328
BTCUSDT,5m,A3,"{""high"": 61.942578391531, ""low"": 25.794885367185792, ""period"": 21}",-2.2085413944128995,-1.5016552760660384,-0.2904230773733961,35.55555555555556,22,2.999509105229625,1.7599999999999998,0.0,0.09180471656691122
BTCUSDT,5m,A3,"{""high"": 61.395384936779095, ""low"": 23.116054058210594, ""period"": 16}",-1.9406927294334575,-1.3189582615185547,-0.25687286996809433,35.44303797468354,22,2.6540572417222297,1.7599999999999998,0.0,0.09180471656691122
BTCUSDT,5m,A3,"{""high"": 70.4191971771246, ""low"": 21.35499447402355, ""period"": 25}",-0.4512828049223816,-0.30596441657164686,-0.12479318019210005,28.57142857142857,4,0.7559818192061085,0.31999999999999995,0.0,0.016691766648529314
BTCUSDT,5m,A3,"{""high"": 72.78162124816849, ""low"": 25.82959991244293, ""period"": 19}",-1.6965911965225677,-1.1525990634547845,-0.18954756509924403,38.23529411764706,23,3.474791044529868,1.8399999999999999,0.0,0.09597765822904357
BTCUSDT,5m,A3,"{""high"": 64.73982523030448, ""low"": 24.178089534956744, ""period"": 20}",-2.041276911364298,-1.3875468767848842,-0.28381669512957897,29.03225806451613,16,2.9381733758553463,1.2799999999999998,0.0,0.06676706659411726
BTCUSDT,5m,A3,"{""high"": 77.54932702979458, ""low"": 23.59915597362402, ""period"": 22}",-0.8607174726752875,-0.5839435277936622,-0.19472584170450202,31.70731707317073,9,1.2366241157932278,0.72,0.0,0.037556474959190955
BTCUSDT,5m,A3,"{""high"": 69.96915037061888, ""low"": 20.78104437822269, ""period"": 19}",-0.6268972684389085,-0.42514979840611034,-0.16811726511633612,26.666666666666668,9,0.8489331064859829,0.72,0.0,0.037556474959190955
BTCUSDT,5m,A3,"{""high"": 65.40913239515557, ""low"": 17.139980577102733, ""period"": 20}",0.13840118114132327,0.09374508387689495,0.05254355869799824,33.33333333333333,3,0.25702159132634517,0.24,0.0,0.012518824986396986
BTCUSDT,5m,A3,"{""high"": 74.50845117420414, ""low"": 22.54623026497595, ""period"": 21}",-0.6749913983490119,-0.45780199212737127,-0.1551399214157943,32.432432432432435,9,1.1500257541589898,0.72,0.0,0.037556474959190955
BTCUSDT,5m,A3,"{""high"": 64.53831682740463, ""low"": 21.854707684447686, ""period"": 15}",-1.2534891096894207,-0.8509576971693744,-0.1731452165765249,36.986301369863014,20,2.0484060059732356,1.6,0.0,0.08345883324264658
BTCUSDT,15m,A3,"{""high"": 73.0, ""low"": 29.0, ""period"": 20}",-1.077229086014897,-2.177774788962361,-0.16964672546969317,38.775510204081634,14,1.9674544752695922,1.1199999999999999,0.0,0.03322804884392718
BTCUSDT,15m,A3,"{""high"": 73.0, ""low"": 29.0, ""period"": 16}",-1.939191222936676,-3.9028116550164915,-0.25574692841392577,37.362637362637365,26,3.1517140597100424,2.08,0.0,0.06170923356729334
BTCUSDT,15m,A3,"{""high"": 69.0, ""low"": 21.0, ""period"": 14}",-1.4008728940287707,-2.827308560665165,-0.44830499952540503,36.84210526315789,4,1.8718988363949696,0.31999999999999995,0.0,0.009493728241122053
BTCUSDT,15m,A3,"{""high"": 69.0, ""low"": 23.0, ""period"": 16}",-1.2588713140451735,-2.5425905931780513,-0.29358871792643293,39.130434782608695,6,2.0195039866586106,0.48,0.0,0.014240592361683077
BTCUSDT,15m,A3,"{""high"": 64.0, ""low"": 21.0, ""period"": 18}",-0.7965590044831328,-1.612706469623204,-0.31380680063085337,36.36363636363637,2,1.2806581207152945,0.15999999999999998,0.0,0.004746864120561026
BTCUSDT,15m,A3,"{""high"": 67.0, ""low"": 22.0, ""period"": 20}",-0.9591186299338306,-1.9401865410298758,-0.4040747126910042,33.33333333333333,1,1.2806581207152945,0.07999999999999999,0.0,0.002373432060280513
BTCUSDT,15m,A3,"{""high"": 61.0, ""low"": 35.0, ""period"": 18}",-7.728418424037942,-15.084930534723117,-0.7379025771571808,38.82783882783883,64,7.883377831638894,5.119999999999999,0.0,0.15189965185795284
BTCUSDT,15m,A3,"{""high"": 71.0, ""low"": 32.0, ""period"": 12}",-9.411070115207288,-18.20331550267329,-0.9324573657613969,33.75796178343949,88,10.02543301618829,7.039999999999999,0.0,0.20886202130468515
BTCUSDT,15m,A3,"{""high"": 61.0, ""low"": 32.0, ""period"": 20}",-1.791299014820924,-3.60794458362913,-0.22646792648170008,39.49579831932773,31,3.026065031516667,2.48,0.0,0.07357639386869591
BTCUSDT,15m,A3,"{""high"": 67.0, ""low"": 27.0, ""period"": 16}",-1.0980507997513156,-2.2196289010959047,-0.166531179190681,40.0,14,2.15950242422166,1.1199999999999999,0.0,0.03322804884392719
BTCUSDT,15m,A3,"{""high"": 64.0, ""low"": 21.0, ""period"": 12}",-0.7849223338713962,-1.589242853691375,-0.15746468898784063,39.473684210526315,11,2.016561537783168,0.8799999999999999,0.0,0.026107752663085647
BTCUSDT,15m,A3,"{""high"": 62.0, ""low"": 29.0, ""period"": 20}",-1.077229086014897,-2.177774788962361,-0.16964672546969317,38.775510204081634,14,1.9674544752695922,1.1199999999999999,0.0,0.03322804884392718
