symbol,tf,rows,last_ts,stale_min,gaps,status
1000XECUSDT,15m,35106,1755315000000,6.9,0,OK
1000XECUSDT,30m,17553,1755315000000,6.9,0,OK
1000XECUSDT,1h,8775,1755313200000,36.9,0,STALE
1000XECUSDT,2h,4387,1755309600000,96.9,0,STALE
1000XECUSDT,4h,2193,1755302400000,216.9,0,STALE
1000XECUSDT,1d,366,1755302400000,216.9,0,STALE
1000XUSDT,5m,80084,1755315300000,1.9,0,OK
1000XUSDT,15m,26696,1755315000000,6.9,0,OK
1000XUSDT,30m,13349,1755315000000,6.9,1,GAPS
1000XUSDT,1h,6676,1755313200000,36.9,1,STALE
1000XUSDT,2h,3339,1755309600000,96.9,1,STALE
1000XUSDT,4h,1654,1755302400000,216.9,0,STALE
1000XUSDT,1d,277,1755302400000,216.9,0,STALE
1INCHUSDT,5m,105320,1755315300000,1.9,0,OK
1INCHUSDT,15m,35106,1755315000000,6.9,0,OK
1INCHUSDT,30m,17553,1755315000000,6.9,0,OK
1INCHUSDT,1h,8775,1755313200000,36.9,0,STALE
1INCHUSDT,2h,4387,1755309600000,96.9,0,STALE
1INCHUSDT,4h,2193,1755302400000,216.9,0,STALE
1INCHUSDT,1d,366,1755302400000,216.9,0,STALE
1MBABYDOGEUSDT,5m,96799,1755315300000,1.9,0,OK
1MBABYDOGEUSDT,15m,32268,1755315000000,6.9,0,OK
1MBABYDOGEUSDT,30m,16135,1755315000000,6.9,1,GAPS
1MBABYDOGEUSDT,1h,8009,1755313200000,36.9,0,STALE
1MBABYDOGEUSDT,2h,4005,1755309600000,96.9,0,STALE
1MBABYDOGEUSDT,4h,2003,1755302400000,216.9,0,STALE
1MBABYDOGEUSDT,1d,335,1755302400000,216.9,0,STALE
A2ZUSDT,5m,5546,1755315300000,1.9,0,OK
A2ZUSDT,15m,1850,1755315000000,6.9,0,OK
A2ZUSDT,30m,926,1755315000000,6.9,1,GAPS
A2ZUSDT,1h,464,1755313200000,36.9,1,STALE
A2ZUSDT,2h,233,1755309600000,96.9,1,STALE
A2ZUSDT,4h,117,1755302400000,216.9,1,STALE
A2ZUSDT,1d,18,1755302400000,216.9,0,STALE
AAVEUSDT,5m,105320,1755315300000,1.9,0,OK
AAVEUSDT,15m,35106,1755315000000,7.0,0,OK
AAVEUSDT,30m,17553,1755315000000,7.0,0,OK
AAVEUSDT,1h,8775,1755313200000,37.0,0,STALE
AAVEUSDT,2h,4387,1755309600000,97.0,0,STALE
AAVEUSDT,4h,2193,1755302400000,217.0,0,STALE
AAVEUSDT,1d,366,1755302400000,217.0,0,STALE
ACEUSDT,5m,105320,1755315300000,2.0,0,OK
ACEUSDT,15m,35106,1755315000000,7.0,0,OK
ACEUSDT,30m,17553,1755315000000,7.0,0,OK
ACEUSDT,1h,8775,1755313200000,37.0,0,STALE
ACEUSDT,2h,4387,1755309600000,97.0,0,STALE
ACEUSDT,4h,2193,1755302400000,217.0,0,STALE
ACEUSDT,1d,366,1755302400000,217.0,0,STALE
ACHUSDT,5m,105320,1755315300000,2.0,0,OK
ACHUSDT,15m,35106,1755315000000,7.0,0,OK
ACHUSDT,30m,17553,1755315000000,7.0,0,OK
ACHUSDT,1h,8775,1755313200000,37.0,0,STALE
ACHUSDT,2h,4387,1755309600000,97.0,0,STALE
ACHUSDT,4h,2193,1755302400000,217.0,0,STALE
ACHUSDT,1d,366,1755302400000,217.0,0,STALE
ACTUSDT,5m,80663,1755315300000,2.0,0,OK
ACTUSDT,15m,26889,1755315000000,7.0,0,OK
ACTUSDT,30m,13446,1755315000000,7.0,1,GAPS
ACTUSDT,1h,6724,1755313200000,37.0,1,STALE
ACTUSDT,2h,3363,1755309600000,97.0,1,STALE
ACTUSDT,4h,1666,1755302400000,217.0,0,STALE
ACTUSDT,1d,279,1755302400000,217.0,0,STALE
ACXUSDT,5m,73430,1755315300000,2.0,0,OK
ACXUSDT,15m,24478,1755315000000,7.0,0,OK
ACXUSDT,30m,12240,1755315000000,7.0,1,GAPS
ACXUSDT,1h,6121,1755313200000,37.0,1,STALE
ACXUSDT,2h,3062,1755309600000,97.0,1,STALE
ACXUSDT,4h,1516,1755302400000,217.0,0,STALE
ACXUSDT,1d,254,1755302400000,217.0,0,STALE
ADAUSDT,5m,105319,1755315300000,2.0,0,OK
ADAUSDT,15m,35107,1755315000000,7.0,0,OK
ADAUSDT,30m,17553,1755315000000,7.0,0,OK
ADAUSDT,1h,8775,1755313200000,37.0,0,STALE
ADAUSDT,2h,4387,1755309600000,97.0,0,STALE
ADAUSDT,4h,2193,1755302400000,217.0,0,STALE
ADAUSDT,1d,366,1755302400000,217.0,0,STALE
AERGOUSDT,5m,35751,1755315300000,2.0,0,OK
AERGOUSDT,15m,11918,1755315000000,7.1,0,OK
AERGOUSDT,30m,5960,1755315000000,7.1,1,GAPS
AERGOUSDT,1h,2981,1755313200000,37.1,1,STALE
AERGOUSDT,2h,1492,1755309600000,97.1,1,STALE
AERGOUSDT,4h,747,1755302400000,217.1,1,STALE
AERGOUSDT,1d,123,1755302400000,217.1,0,STALE
AEROUSDT,5m,74016,1755315300000,2.1,0,OK
AEROUSDT,15m,24673,1755315000000,7.1,0,OK
AEROUSDT,30m,12338,1755315000000,7.1,1,GAPS
AEROUSDT,1h,6170,1755313200000,37.1,1,STALE
AEROUSDT,2h,3086,1755309600000,97.1,1,STALE
AEROUSDT,4h,1528,1755302400000,217.1,0,STALE
AEROUSDT,1d,256,1755302400000,217.1,0,STALE
AEVOUSDT,5m,105320,1755315300000,2.1,0,OK
AEVOUSDT,15m,35107,1755315000000,7.1,0,OK
AEVOUSDT,30m,17553,1755315000000,7.1,0,OK
AEVOUSDT,1h,8775,1755313200000,37.1,0,STALE
AEVOUSDT,2h,4387,1755309600000,97.1,0,STALE
AEVOUSDT,4h,2193,1755302400000,217.1,0,STALE
AEVOUSDT,1d,366,1755302400000,217.1,0,STALE
AGLDUSDT,5m,105320,1755315300000,2.1,0,OK
AGLDUSDT,15m,35107,1755315000000,7.1,0,OK
AGLDUSDT,30m,17553,1755315000000,7.1,0,OK
AGLDUSDT,1h,8775,1755313200000,37.1,0,STALE
AGLDUSDT,2h,4387,1755309600000,97.1,0,STALE
AGLDUSDT,4h,2193,1755302400000,217.1,0,STALE
AGLDUSDT,1d,366,1755302400000,217.1,0,STALE
